источники;Sources;来源
коэффициент теплоотдачи, вт/(м^2*к;Heat transfer coefficient, W / (m ^ 2 * K);传热系数，W/(m^2*K)
площадь теплообмена, м^2;Area of ​​heat exchange, m ^ 2;热交换面积，m^2
площадь механического элемента, на которую действует давление в полости, м^2;The area of ​​the mechanical element, on which the pressure in the cavity acts, m ^ 2;型腔内压力作用的机械元件面积，m^2
характер силы давления жидкост;Character of the force of the fluid pressure;流体压力的性质
характер силы давления газа;Nature of gas pressure;气体压力的性质
температура, поддерживаемая в полости,;The temperature maintained in the cavity, K;型腔内维持的温度，K
коэффициент усиления регулятора;Regulator gain;调节器增益
вид измеряемого давления;Type of measured pressure;测量压力类型
единицы выдаваемого сигнала;Units of output signa;输出信号单位
максимальный рабочий объем, м3/об;Maximum working volume, m3 / rev;最大工作容积，m3/转
