Источники   ;   Sources   ;   来源
Коммутационное ЭО   ;   Switching devices   ;   开关设备
Преобразователи   ;   Converters   ;   转换器
Линии и нагрузка   ;   Lines and loads   ;   线路和负载
Релейные защиты и автоматика   ;   Relay protection and automation   ;   继电保护及自动化
НЛ - Фазификация функциями Гаусса   ;   FL - Phasing with Gaussian functions   ;   FL - 使用高斯函数定相
НЛ - Фазификация треугольными функциями   ;   FL - Phasing of triangular functions   ;   FL - 三角函数的定相
НЛ - Фазификация трапециевидными функциями   ;   FL - Phasification by trapezoidal functions   ;   FL - 通过梯形函数进行相化
НЛ - Нечёткая импликация   ;   FL - Fuzzy Implication   ;   FL - 模糊蕴涵
НЛ - Нечёткое И (конъюнкция)   ;   FL - Fuzzy AND (conjunction)   ;   FL - 模糊 AND（连词）
НЛ - Нечёткое ИЛИ (дизъюнкция)   ;   FL - Fuzzy OR (disjunction)   ;   FL - 模糊 OR（析取）
НЛ - Нечёткое НЕТ (отрицание)   ;   FL - Fuzzy NO (negation)   ;   FL - 模糊 NO（否定）
НЛ - Нечёткий вывод универсальный   ;   FL - Fuzzy inference universal   ;   FL - 通用模糊推理
НЛ - Нечёткий вывод точечными множествами (алгоритм Цукамото)9   ;   FL - Fuzzy derivation by point sets (Tsukamoto algorithm)   ;   FL - 通过点集进行模糊推导（Tsukamoto 算法）
Каналы   ;   Channels   ;   渠道
Арматура   ;   Armature   ;   衔铁
Элементы турбонасосных агрегатов   ;   Elements of turbo-pump units   ;   涡轮泵机组的元件
Баки   ;   Tanks   ;   坦克
Теплообмен   ;   Heat exchange   ;   热交换
Контроль P в узле   ;   Control P in the node   ;   控制节点中的P
Контроль P, L в баке   ;   Control P, L in the tank   ;   控制罐内P、L
Контроль P, H, T в узле   ;   Monitoring P, H, T in the node   ;   监控节点中的P、H、T
Контроль G в канале   ;   Control G in the channel   ;   在通道中控制G
Контроль степени открытия задвижки   ;   Control of the degree of opening of the valve   ;   阀门开度的控制
Контроль n и dP насоса   ;   Control of pump n and dP   ;   泵 n 和 dP 的控制
Контроль высотной отметки узла   ;   Controlling the elevation of the node   ;   控制节点的高程
Датчик давления в узле   ;   Pressure sensor in the unit   ;   装置内的压力传感器
Датчик температуры в узле   ;   Temperature sensor in the unit   ;   装置内的温度传感器
Датчик давления в КО   ;   Pressure sensor in tank   ;   罐内压力传感器
Датчик температуры пара в КО   ;   Steam temperature sensor in tank   ;   罐内蒸汽温度传感器
Датчик уровня в КО   ;   Level sensor in the tank   ;   水箱内的液位传感器
Датчик массового расхода в канале   ;   Mass flow sensor in the channel   ;   通道中的质量流量传感器
Датчик частоты вращения ротора ТРР   ;   Rotor speed sensor TPP   ;   转子速度传感器TPP
Датчик мощности в ТРР   ;   Power sensor in TPP   ;   TPP 中的功率传感器
Параметры узла ТРР для тепловой схемы2   ;   Parameters of the TPP node for the thermal circuit   ;   热回路TPP节点参数
Параметры канала ТРР для тепловой схемы   ;   TPP channel parameters for the thermal scheme   ;   热方案的 TPP 通道参数
Параметры КО ТРР для тепловой схемы)   ;   KO TPP parameters for the thermal circuit   ;   KO TPP 热回路参数
Граничные условия   ;   Border conditions   ;   边境条件
Маска теплообменника 1   ;   Heat exchanger mask 1   ;   热交换器面罩1
Маска теплообменника 2   ;   Mask heat exchanger 2   ;   面罩热交换器2
Маска теплообменника 3   ;   Heat exchanger mask 3   ;   热交换器面罩3
Маска теплообменника 4   ;   Heat exchanger mask 4   ;   热交换器面罩4
Маска теплообменника 5   ;   Heat exchanger mask 5   ;   热交换器面罩5
Маска теплообменника 6   ;   Heat exchanger mask 6   ;   热交换器面罩6
Маска теплообменника 7   ;   Heat exchanger mask 7   ;   热交换器面罩7
Маска фильтра   ;   Filter Mask   ;   过滤面罩
Расходомерная шайба   ;   Flow washer   ;   流动清洗机
Ограничитель расхода   ;   Flow limiter   ;   限流器
Пересечение трубопроводов   ;   Crossing of pipelines   ;   管道穿越
Изменение диаметра   ;   Changing the diameter   ;   改变直径
Маска конденсатора 1   ;   Mask of the capacitor 1   ;   电容器1的掩模
Маска ЦВД 1   ;   Mask CVP 1   ;   面罩 CVP 1
Маска ЦНД 1   ;   Mask of CND 1   ;   CND 1 的掩码
Маска турбины 1   ;   Mask of the turbine 1   ;   涡轮面具1
Маска турбины 2   ;   Mask of the turbine 2   ;   涡轮面具2
Маска электрогенератора 1   ;   Mask power generator 1   ;   面罩发电机1台
Стенки и тепловые структуры   ;   Walls and thermal structures   ;   墙壁和热结构
Турбонасосное оборудование   ;   Turbopump equipment   ;   涡轮泵设备
